SN,ItemName,Spec,LSL,tValue,USL,ElapsedTime,StartTime,Result
161615616,REPORT_CHILD,--,--,--,--,102877,2021-12-08 12:01:01.932635,Pass
161615616, Install driver,--,--,--,--,106388,2021-12-08 12:01:02.038504,Pass
161615616, Install driver,--,--,--,--,106823,2021-12-08 12:01:02.145889,Pass
161615616, Install driver,--,--,--,--,109748,2021-12-08 12:01:02.254700,Pass
161615616,LOAD_BZT,--,--,--,--,108601,2021-12-08 12:01:02.365445,Pass
1561561,CheckEeroTest,--,--,--,--,114733,2021-12-08 13:06:41.330499,Pass
1561561,Checkroute,--,--,--,--,105327,2021-12-08 13:06:41.449225,Pass
1561561,CheckEeroABA,--,--,--,--,104828,2021-12-08 13:06:41.555552,Pass
1561561,VERIFYSFIS,--,--,--,--,108323,2021-12-08 13:06:41.660380,Pass
1561561,AT+TESTSTART%,--,--,--,--,104457,2021-12-08 13:06:41.774994,Pass
1561561,DUT_PING,--,--,--,--,109782,2021-12-08 13:06:41.880447,Pass
1561561,DUT_TELNET,--,--,--,--,105284,2021-12-08 13:06:41.994219,Pass
1561561,VeritfyDUTMAC,--,--,--,--,105917,2021-12-08 13:06:42.102494,Pass
1561561,DUT_OK,1561561,--,--,--,108788,2021-12-08 13:06:42.209422,Pass
1561561,TEMP_BOOT,--,--,--,63,106020,2021-12-08 13:06:42.320206,Pass
1561561,LED_MODEL,lp5562,--,--,--,105139,2021-12-08 13:06:42.429218,Pass
1561561,PHY_STATUS,--,--,--,--,106118,2021-12-08 13:06:42.535354,Pass
1561561,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,107404,2021-12-08 13:06:42.642471,Pass
1561561,FUSB_STATUS,--,--,--,--,108405,2021-12-08 13:06:42.750872,Pass
1561561,REPORT_CHILD,--,--,--,--,104602,2021-12-08 13:06:42.862237,Pass
1561561, Install driver,--,--,--,--,104287,2021-12-08 13:06:42.970828,Pass
1561561, Install driver,--,--,--,--,108284,2021-12-08 13:06:43.076115,Pass
1561561, Install driver,--,--,--,--,110760,2021-12-08 13:06:43.184399,Pass
1561561,LOAD_BZT,--,--,--,--,107709,2021-12-08 13:06:43.297151,Pass
--,CheckEeroTest,--,--,--,--,118851,2021-12-08 13:25:25.599135,Pass
--,Checkroute,--,--,--,--,113476,2021-12-08 13:25:25.729954,Pass
--,CheckEeroABA,--,--,--,--,105703,2021-12-08 13:25:25.844437,Pass
--,VERIFYSFIS,--,--,--,--,107150,2021-12-08 13:25:25.952129,Pass
--,AT+TESTSTART%,--,--,--,--,104887,2021-12-08 13:25:26.063265,Pass
--,DUT_PING,--,--,--,--,109669,2021-12-08 13:25:26.169141,Pass
--,DUT_TELNET,--,--,--,--,103664,2021-12-08 13:25:26.284793,Pass
--,VeritfyDUTMAC,--,--,--,--,108143,2021-12-08 13:25:26.389457,Pass
--,DUT_OK,--,--,--,--,106938,2021-12-08 13:25:26.499634,Pass
--,TEMP_BOOT,--,--,--,63,101381,2021-12-08 13:25:26.607560,Pass
--,LED_MODEL,lp5562,--,--,--,100458,2021-12-08 13:25:26.710970,Pass
--,PHY_STATUS,--,--,--,--,105769,2021-12-08 13:25:26.811428,Pass
--,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,108403,2021-12-08 13:25:26.918195,Pass
--,FUSB_STATUS,--,--,--,--,108029,2021-12-08 13:25:27.027596,Pass
--,REPORT_CHILD,--,--,--,--,105409,2021-12-08 13:25:27.138000,Pass
--, Install driver,--,--,--,--,107217,2021-12-08 13:25:27.245409,Pass
--, Install driver,--,--,--,--,110747,2021-12-08 13:25:27.353624,Pass
--, Install driver,--,--,--,--,105058,2021-12-08 13:25:27.466374,Pass
--,LOAD_BZT,--,--,--,--,106046,2021-12-08 13:25:27.573431,Pass
--,CheckEeroTest,--,--,--,--,102025,2021-12-08 13:26:14.771233,Pass
--,Checkroute,--,--,--,--,115886,2021-12-08 13:26:14.880240,Pass
--,CheckEeroABA,--,--,--,--,108338,2021-12-08 13:26:14.998120,Pass
--,VERIFYSFIS,--,--,--,--,106602,2021-12-08 13:26:15.107454,Pass
--,AT+TESTSTART%,--,--,--,--,118322,2021-12-08 13:26:15.220041,Pass
--,DUT_PING,--,--,--,--,109633,2021-12-08 13:26:15.338363,Pass
--,DUT_TELNET,--,--,--,--,107508,2021-12-08 13:26:15.449993,Pass
--,VeritfyDUTMAC,--,--,--,--,107265,2021-12-08 13:26:15.560492,Pass
--,DUT_OK,--,--,--,--,106127,2021-12-08 13:26:15.668759,Pass
--,TEMP_BOOT,--,--,--,63,108754,2021-12-08 13:26:15.776884,Pass
--,LED_MODEL,lp5562,--,--,--,105172,2021-12-08 13:26:15.890616,Pass
--,PHY_STATUS,--,--,--,--,106701,2021-12-08 13:26:15.996789,Pass
--,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,107207,2021-12-08 13:26:16.105488,Pass
--,FUSB_STATUS,--,--,--,--,109076,2021-12-08 13:26:16.213726,Pass
--,REPORT_CHILD,--,--,--,--,105858,2021-12-08 13:26:16.327787,Pass
--, Install driver,--,--,--,--,101723,2021-12-08 13:26:16.438630,Pass
--, Install driver,--,--,--,--,112367,2021-12-08 13:26:16.540353,Pass
--, Install driver,--,--,--,--,102289,2021-12-08 13:26:16.653718,Pass

--,CheckEeroTest,--,--,--,--,102025,2021-12-08 13:26:14.771233,Pass
--,Checkroute,--,--,--,--,115886,2021-12-08 13:26:14.880240,Pass
--,CheckEeroABA,--,--,--,--,108338,2021-12-08 13:26:14.998120,Pass
--,VERIFYSFIS,--,--,--,--,106602,2021-12-08 13:26:15.107454,Pass
--,AT+TESTSTART%,--,--,--,--,118322,2021-12-08 13:26:15.220041,Pass
--,DUT_PING,--,--,--,--,109633,2021-12-08 13:26:15.338363,Pass
--,DUT_TELNET,--,--,--,--,107508,2021-12-08 13:26:15.449993,Pass
--,VeritfyDUTMAC,--,--,--,--,107265,2021-12-08 13:26:15.560492,Pass
--,DUT_OK,--,--,--,--,106127,2021-12-08 13:26:15.668759,Pass
--,TEMP_BOOT,--,--,--,63,108754,2021-12-08 13:26:15.776884,Pass
--,LED_MODEL,lp5562,--,--,--,105172,2021-12-08 13:26:15.890616,Pass
--,PHY_STATUS,--,--,--,--,106701,2021-12-08 13:26:15.996789,Pass
--,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,107207,2021-12-08 13:26:16.105488,Pass
--,FUSB_STATUS,--,--,--,--,109076,2021-12-08 13:26:16.213726,Pass
--,REPORT_CHILD,--,--,--,--,105858,2021-12-08 13:26:16.327787,Pass
--, Install driver,--,--,--,--,101723,2021-12-08 13:26:16.438630,Pass
--, Install driver,--,--,--,--,112367,2021-12-08 13:26:16.540353,Pass
--, Install driver,--,--,--,--,102289,2021-12-08 13:26:16.653718,Pass
--,LOAD_BZT,--,--,--,--,113623,2021-12-08 13:26:16.757999,Pass
--,CheckEeroTest,--,--,--,--,103427,2021-12-08 13:26:17.652155,Pass
--,Checkroute,--,--,--,--,117626,2021-12-08 13:26:17.757587,Pass
--,CheckEeroABA,--,--,--,--,104033,2021-12-08 13:26:17.877218,Pass
--,VERIFYSFIS,--,--,--,--,107972,2021-12-08 13:26:17.982243,Pass
--,AT+TESTSTART%,--,--,--,--,105667,2021-12-08 13:26:18.094200,Pass
--,DUT_PING,--,--,--,--,108326,2021-12-08 13:26:18.201862,Pass
--,DUT_TELNET,--,--,--,--,103920,2021-12-08 13:26:18.312187,Pass
--,VeritfyDUTMAC,--,--,--,--,103550,2021-12-08 13:26:18.420093,Pass
--,DUT_OK,--,--,--,--,108997,2021-12-08 13:26:18.523643,Pass
--,TEMP_BOOT,--,--,--,63,102720,2021-12-08 13:26:18.638626,Pass
--,LED_MODEL,lp5562,--,--,--,109356,2021-12-08 13:26:18.743343,Pass
--,PHY_STATUS,--,--,--,--,107934,2021-12-08 13:26:18.853697,Pass
--,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,110114,2021-12-08 13:26:18.962641,Pass
--,FUSB_STATUS,--,--,--,--,105839,2021-12-08 13:26:19.074750,Pass
--,REPORT_CHILD,--,--,--,--,105460,2021-12-08 13:26:19.185578,Pass
--, Install driver,--,--,--,--,105482,2021-12-08 13:26:19.296026,Pass
--, Install driver,--,--,--,--,107939,2021-12-08 13:26:19.402506,Pass
--, Install driver,--,--,--,--,106867,2021-12-08 13:26:19.511447,Pass
--,LOAD_BZT,--
--,CheckEeroTest,--,--,--,--,104534,2021-12-08 13:26:47.413099,Pass
--,Checkroute,--,--,--,--,117243,2021-12-08 13:26:47.524612,Pass
--,CheckEeroABA,--,--,--,--,108959,2021-12-08 13:26:47.642851,Pass
--,VERIFYSFIS,--,--,--,--,107508,2021-12-08 13:26:47.753813,Pass
--,AT+TESTSTART%,--,--,--,--,114692,2021-12-08 13:26:47.867304,Pass
--,DUT_PING,--,--,--,--,108974,2021-12-08 13:26:47.982994,Pass
--,DUT_TELNET,--,--,--,--,117727,2021-12-08 13:26:48.097951,Pass
--,VeritfyDUTMAC,--,--,--,--,104623,2021-12-08 13:26:48.219669,Pass
--,DUT_OK,--,--,--,--,106592,2021-12-08 13:26:48.326290,Pass
--,TEMP_BOOT,--,--,--,63,104974,2021-12-08 13:26:48.435872,Pass
--,LED_MODEL,lp5562,--,--,--,105502,2021-12-08 13:26:48.544836,Pass
--,PHY_STATUS,--,--,--,--,106776,2021-12-08 13:26:48.652333,Pass
--,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,104486,2021-12-08 13:26:48.760012,Pass
--,FUSB_STATUS,--,--,--,--,108948,2021-12-08 13:26:48.866493,Pass
--,REPORT_CHILD,--,--,--,--,104718,2021-12-08 13:26:48.980424,Pass
--, Install driver,--,--,--,--,109503,2021-12-08 13:26:49.086140,Pass
--, Install driver,--,--,--,--,105998,2021-12-08 13:26:49.196638,Pass
--, Install driver,--,--,--,--,108052,2021-12-08 13:26:49.303633,Pass
--,LOAD_BZT,--,--,--,--,108399,2021-12-08 13:26:49.412685,Pass
--,CheckEeroTest,--,--,--,--,117389,2021-12-08 13:29:06.542949,Pass
--,Checkroute,--,--,--,--,114321,2021-12-08 13:29:06.672310,Pass
--,CheckEeroABA,--,--,--,--,109299,2021-12-08 13:29:06.787627,Pass
--,VERIFYSFIS,--,--,--,--,106944,2021-12-08 13:29:06.897923,Pass
--,AT+TESTSTART%,--,--,--,--,119548,2021-12-08 13:29:07.010852,Pass
--,DUT_PING,--,--,--,--,107528,2021-12-08 13:29:07.131405,Pass
--,DUT_TELNET,--,--,--,--,107234,2021-12-08 13:29:07.240928,Pass
--,VeritfyDUTMAC,--,--,--,--,117578,2021-12-08 13:29:07.353149,Pass
--,DUT_OK,--,--,--,--,108905,2021-12-08 13:29:07.472721,Pass
--,TEMP_BOOT,--,--,--,63,106712,2021-12-08 13:29:07.584616,Pass
--,LED_MODEL,lp5562,--,--,--,103749,2021-12-08 13:29:07.694322,Pass
--,PHY_STATUS,--,--,--,--,108591,2021-12-08 13:29:07.799070,Pass
--,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,108951,2021-12-08 13:29:07.907661,Pass
--,FUSB_STATUS,--,--,--,--,216137,2021-12-08 13:29:08.018607,Pass
--,REPORT_CHILD,--,--,--,--,103933,2021-12-08 13:29:08.238734,Pass
--, Install driver,--,--,--,--,107317,2021-12-08 13:29:08.347654,Pass
--, Install driver,--,--,--,--,109734,2021-12-08 13:29:08.455970,Pass
--, Install driver,--,--,--,--,109686,2021-12-08 13:29:08.566700,Pass
--,LOAD_BZT,--,--,--,--,107956,2021-12-08 13:29:08.678380,Pass
--,CheckEeroTest,--,--,--,--,120056,2021-12-08 13:30:09.401229,Pass
--,Checkroute,--,--,--,--,113373,2021-12-08 13:30:09.532247,Pass
--,CheckEeroABA,--,--,--,--,105905,2021-12-08 13:30:09.646613,Pass
--,VERIFYSFIS,--,--,--,--,108101,2021-12-08 13:30:09.753515,Pass
--,AT+TESTSTART%,--,--,--,--,106099,2021-12-08 13:30:09.864606,Pass
--,DUT_PING,--,--,--,--,110156,2021-12-08 13:30:09.971701,Pass
--,DUT_TELNET,--,--,--,--,116136,2021-12-08 13:30:10.085845,Pass
--,VeritfyDUTMAC,--,--,--,--,105768,2021-12-08 13:30:10.205977,Pass
--,DUT_OK,--,--,--,--,107739,2021-12-08 13:30:10.313740,Pass
--,TEMP_BOOT,--,--,--,63,104632,2021-12-08 13:30:10.424468,Pass
--,LED_MODEL,lp5562,--,--,--,107649,2021-12-08 13:30:10.530101,Pass
--,PHY_STATUS,--,--,--,--,109070,2021-12-08 13:30:10.638753,Pass
--,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,106970,2021-12-08 13:30:10.749817,Pass
--,FUSB_STATUS,--,--,--,--,108921,2021-12-08 13:30:10.857782,Pass
--,REPORT_CHILD,--,--,--,--,116034,2021-12-08 13:30:10.972694,Pass
--, Install driver,--,--,--,--,111072,2021-12-08 13:30:11.090661,Pass
--, Install driver,--,--,--,--,103833,2021-12-08 13:30:11.203732,Pass
--, Install driver,--,--,--,--,108081,2021-12-08 13:30:11.308573,Pass
--,LOAD_BZT,--,--,--,--,108281,2021-12-08 13:30:11.418649,Pass
16813513,CheckEeroTest,--,--,--,--,105083,2021-12-08 16:03:18.321569,Pass
